Feature,Dataset,Folder,T,CV,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
icmp.type,CS2D1,CV,3.0,0.0,0.38425083201551474,0.08971381826670936,0.10847151213548581,0.08971381826670936,0.057840034982191535,0.0086089102562222,0.0,0.017824125289916923,0.00633487701416012
icmp.unused,CS2D1,CV,3.0,0.0,0.3803122627143235,0.0833333333333333,0.0316926885595269,0.0833333333333333,0.04592095469231626,0.0,0.0,0.018965768814086865,0.0035172939300536802
icmpv6.checksum,CS2D1,CV,3.0,0.0,0.38107431068529174,0.0928050322181916,0.24505060604559326,0.0928050322181916,0.06270351656971969,0.0014060204228248199,0.0,0.018487024307250917,0.0032886505126953
icmpv6.checksum.status,CS2D1,CV,3.0,0.0,0.38080885739082865,0.08344545088152348,0.08526349713993814,0.08344545088152348,0.04617037842331648,0.0008152789077233199,0.0,0.02183365821838374,0.0
icmpv6.code,CS2D1,CV,3.0,0.0,0.38080886050648627,0.08344550263344477,0.08520160283777635,0.08344550263344477,0.046170622663694774,0.0008154174098170999,0.0,0.02316517829895014,0.0
icmpv6.mldr.nb_mcast_records,CS2D1,CV,3.0,0.0,0.3808431145043306,0.08419807814026067,0.16184144180214927,0.08419807814026067,0.04764435638985392,0.0009474930914728601,0.0,0.01913166046142574,0.00572772026062008
icmpv6.opt,CS2D1,CV,3.0,0.0,0.3804107180443199,0.08422892912932083,0.09508988951153015,0.08422892912932083,0.0476875520830342,0.00024103776485816068,0.0,0.01809973716735834,0.0031285285949706997
icmpv6.opt.length,CS2D1,CV,3.0,0.0,0.3804107180443199,0.08422892912932083,0.09508988951153015,0.08422892912932083,0.0476875520830342,0.00024103776485816068,0.0,0.021683168411254842,0.00280265808105468
icmpv6.opt.type,CS2D1,CV,3.0,0.0,0.380410732889512,0.08422828564989612,0.09598274908676122,0.08422828564989612,0.047685983413568445,0.00024096943547538002,0.0,0.02218155860900876,0.00412983894348142
icmpv6.reserved,CS2D1,CV,3.0,0.0,0.3808088583071985,0.08344543873431863,0.08543805015222575,0.08344543873431863,0.04617046567558062,0.0008156561574049599,0.0,0.01900944709777828,0.0031251430511474603
icmpv6.type,CS2D1,CV,3.0,0.0,0.38090732234270874,0.08433344520332064,0.1599311252987214,0.08433344520332064,0.04791858733920804,0.0010540108823561601,0.0,0.026989603042602478,0.0
igmp.checksum,CS2D1,CV,3.0,0.0,0.3807232286733514,0.08399150893320421,0.11478385799798077,0.08399150893320421,0.047208191570273325,0.00081962603984912,0.0,0.017556905746459902,0.00330843925476074
igmp.checksum.status,CS2D1,CV,3.0,0.0,0.3807489303743565,0.08343193037238066,0.08487369348621053,0.08343193037238066,0.04614061033424014,0.0007171784724215599,0.0,0.019642210006713838,0.00856237411499022
igmp.max_resp,CS2D1,CV,3.0,0.0,0.3803122602401248,0.0833333333333333,0.0316926883533437,0.0833333333333333,0.04592048124646732,0.0,0.0,0.015072631835937458,0.012405347824096618
igmp.num_grp_recs,CS2D1,CV,3.0,0.0,0.38074891552916446,0.08343201248654482,0.08421663109305433,0.08343201248654482,0.04614065610263936,0.00071816108096048,0.0,0.018840360641479443,0.00627551078796384
igmp.type,CS2D1,CV,3.0,0.0,0.38074891278005474,0.08343202097366872,0.08460983835364297,0.08343202097366872,0.04614058413222074,0.0007175937887510399,0.0,0.023478364944457965,0.0
igmp.version,CS2D1,CV,3.0,0.0,0.3807489134215137,0.08343192152143644,0.08512363443055182,0.08343192152143644,0.0461403964717506,0.0007169943886306,0.0,0.02078394889831538,0.0
ip.bogus_ip_length,CS2D1,CV,3.0,0.0,0.40958615926952263,0.08994429200865002,0.11520528038455675,0.08994429200865002,0.05916607156095862,0.047749702541031,0.0,0.02011222839355464,0.0
ip.checksum.status,CS2D1,CV,3.0,0.0,0.3859118902495534,0.08630073421020261,0.06681941960372713,0.08630073421020261,0.07157551622492006,0.021706003100042958,0.0,0.026188039779663042,0.00398340225219726
ip.dsfield,CS2D1,CV,3.0,0.0,0.38593757032422926,0.08652929593866246,0.13348730305467016,0.08652929593866246,0.0720328889153208,0.021759405668513483,0.0,0.026793813705444296,0.00485014915466306
