Feature,Dataset,Folder,T,CV,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
dns.soa.minimum_ttl,AD-S2-1,SS,0.0,2.0,0.0641488977231658,0.0476190476190476,0.0030547094153888,0.0476190476190476,0.0057411315689461,0.0,0.0,0.01040344238281242,0.00917506217956538
dns.soa.refresh_interval,AD-S2-1,SS,0.0,2.0,0.0641488977231658,0.0476190476190476,0.0030547094153888,0.0476190476190476,0.0057411315689461,0.0,0.0,0.00918245315551752,0.010865497589111279
dns.soa.retry_interval,AD-S2-1,SS,0.0,2.0,0.0641488977231658,0.0476190476190476,0.0030547094153888,0.0476190476190476,0.0057411315689461,0.0,0.0,0.011154556274414,0.010923624038696239
dns.soa.serial_number,AD-S2-1,SS,0.0,2.0,0.0641488977231658,0.0476190476190476,0.0030547094153888,0.0476190476190476,0.0057411315689461,0.0,0.0,0.00994043350219722,0.01218018531799312
dns.srv.port,AD-S2-1,SS,0.0,2.0,0.0701894780319066,0.0531843636273626,0.0965286287769898,0.0531843636273626,0.0162125627752457,0.0065363774470704,0.0,0.01056675910949704,0.00887537002563474
dns.srv.priority,AD-S2-1,SS,0.0,2.0,0.0688213124064226,0.0513918852723842,0.0356619014971806,0.0513918852723842,0.0125408957792297,0.0050302626464331,0.0,0.01011285781860346,0.01073980331420894
dns.srv.weight,AD-S2-1,SS,0.0,2.0,0.0688213124064226,0.0513918852723842,0.0356619014971806,0.0513918852723842,0.0125408957792297,0.0050302626464331,0.0,0.009638166427612258,0.011550188064575142
dns.time,AD-S2-1,SS,0.0,2.0,0.0714802003200991,0.053251042726589405,0.0682998926925197,0.053251042726589405,0.0158580014440377,0.0080549843411799,0.0,0.0110597133636474,0.00908908843994134
dns.unsolicited,AD-S2-1,SS,0.0,2.0,0.0689761990810057,0.0515169517139313,0.0364270781754373,0.0515169517139313,0.012758580193447699,0.0051961149953229,0.0,0.01092514991760248,0.01003646850585934
dstport,AD-S2-1,SS,0.0,2.0,0.21743507666890388,0.1911031977446816,0.5288340060072338,0.1911031977446816,0.1759865919022589,0.1675588127071785,0.0,0.02346749305725092,0.01113739013671872
dstport_class,AD-S2-1,SS,0.0,2.0,0.1818498631834374,0.1615480061718075,0.2062092616835644,0.1615480061718075,0.1262827179539685,0.129734263038714,0.0,0.0152041912078857,0.01233525276184078
eapol.keydes.key_iv,AD-S2-1,SS,0.0,2.0,0.0696731891166296,0.0577386863384877,0.0462534172726643,0.0577386863384877,0.0221707713321177,0.0061498058255159,0.0,0.009880685806274379,0.010962963104248
eapol.keydes.key_len,AD-S2-1,SS,0.0,2.0,0.0696990035623935,0.0577821939196837,0.0524779289937066,0.0577821939196837,0.0224233681681409,0.0061766090831649,0.0,0.011036586761474561,0.011050462722778301
eapol.keydes.replay_counter,AD-S2-1,SS,0.0,2.0,0.0697119107852754,0.05777745085053769,0.0679057681145987,0.05777745085053769,0.0223744243449034,0.0061838261543585,0.0,0.01105384826660152,0.009303855895996058
eapol.keydes.type,AD-S2-1,SS,0.0,2.0,0.0697893541225669,0.0578251965178521,0.0947118166297714,0.0578251965178521,0.0224030537276706,0.006269223052313,0.0,0.010236644744873,0.00980467796325678
eapol.len,AD-S2-1,SS,0.0,2.0,0.0697119107852754,0.0577675230649425,0.0941486694792894,0.0577675230649425,0.022248220492259,0.0061896114428143,0.0,0.010247564315795859,0.00934166908264158
eapol.type,AD-S2-1,SS,0.0,2.0,0.0696731891166296,0.0577386863384877,0.0462534172726643,0.0577386863384877,0.0221707713321177,0.0061498058255159,0.0,0.01007213592529292,0.00991778373718256
eapol.version,AD-S2-1,SS,0.0,2.0,0.0697893541225669,0.0578251965178521,0.063113629728775,0.0578251965178521,0.0225497601627546,0.006257783821966201,0.0,0.01112504005432124,0.00887799263000484
eth.addr.oui,AD-S2-1,SS,0.0,2.0,0.1868707728845061,0.1504639289593435,0.1612706008166948,0.1504639289593435,0.0935824266527071,0.1340717700632003,0.0,0.01686792373657224,0.013172197341918901
th.dst,_AD-S2-1_,SS,,,,,,,,,,,
eth.dst.ig,AD-S2-1,SS,0.0,2.0,0.0631292271154938,0.0470164510162117,0.0037778840323748003,0.0470164510162117,0.0069820910643971,-0.0006142191964615,0.0,0.009218168258666939,0.011193656921386701
eth.dst.lg,AD-S2-1,SS,0.0,2.0,0.0639681966028189,0.0476399453455031,0.0034104318192749996,0.0476399453455031,0.0063314531711039,0.0001475128489658,0.0,0.010043334960937459,0.0100246906280517
eth.dst.oui,AD-S2-1,SS,0.0,2.0,0.1868707728845061,0.1504639289593435,0.1612706008166948,0.1504639289593435,0.0935824266527071,0.1340717700632003,0.0,0.0182106494903564,0.010943031311035101
eth.fcs,AD-S2-1,SS,0.0,2.0,0.0641488977231658,0.0476190476190476,0.0030547094153888,0.0476190476190476,0.0057411315689461,0.0,0.0,0.009224319458007758,0.0095037460327148
eth.fcs.status,AD-S2-1,SS,0.0,2.0,0.0641488977231658,0.0476190476190476,0.0030547094153888,0.0476190476190476,0.0057411315689461,0.0,0.0,0.00706830024719232,0.0090328693389892
eth.ig,AD-S2-1,SS,0.0,2.0,0.0631292271154938,0.0470164510162117,0.0037778840323748003,0.0470164510162117,0.0069820910643971,-0.0006142191964615,0.0,0.01055259704589838,0.01241154670715328
eth.len,AD-S2-1,SS,0.0,2.0,0.0668852289741339,0.0526315789473684,0.0481315940656799,0.0526315789473684,0.0147784328117921,0.0030414096345461,0.0,0.00997614860534662,0.0100307941436767
eth.lg,AD-S2-1,SS,0.0,2.0,0.0639681966028189,0.0476399453455031,0.0034104318192749996,0.0476399453455031,0.0063314531711039,0.0001475128489658,0.0,0.01163215637207026,0.013123559951782179
eth.padding,AD-S2-1,SS,0.0,2.0,0.0901956734988899,0.0733542479659244,0.030843548628358704,0.0733542479659244,0.0326499366551269,0.0285751409144152,0.0,0.010023975372314399,0.00898408889770502
eth.padding_bad,AD-S2-1,SS,0.0,2.0,0.0641488977231658,0.0476190476190476,0.0030547094153888,0.0476190476190476,0.0057411315689461,0.0,0.0,0.009117364883422779,0.00998258590698238
th.src,_AD-S2-1_,SS,,,,,,,,,,,
eth.src.ig,AD-S2-1,SS,0.0,2.0,0.0641488977231658,0.0476190476190476,0.0030547094153888,0.0476190476190476,0.0057411315689461,0.0,0.0,0.00992245674133296,0.01054849624633784
eth.src.lg,AD-S2-1,SS,0.0,2.0,0.0641488977231658,0.0476190476190476,0.0030547094153888,0.0476190476190476,0.0057411315689461,0.0,0.0,0.0080180644989013,0.010043811798095659
eth.src.oui,AD-S2-1,SS,0.0,2.0,0.9223888688109867,0.9047619047619048,0.8695726850311905,0.9047619047619048,0.882917895141955,0.9179344610407425,0.0,0.0236420631408691,0.013450145721435519
eth.type,AD-S2-1,SS,0.0,2.0,0.0978109349992255,0.0826202517163452,0.0723823349305461,0.0826202517163452,0.05089555492285079,0.036660253908578,0.0,0.010117244720458942,0.010829687118530221
